aX,aY,aZ,gX,gY,gZ
0.667,-1.330,0.761,66.956,28.320,106.018
0.707,-1.325,0.719,56.152,28.015,85.815
0.691,-1.278,0.684,71.045,28.748,66.040
0.679,-1.157,0.671,105.652,33.752,47.974
0.662,-1.038,0.602,147.217,29.968,29.175
0.610,-1.044,0.513,185.669,9.949,11.597
0.606,-1.190,0.419,204.712,-16.602,3.540
0.614,-1.343,0.275,189.941,-42.297,9.766
0.590,-1.506,0.118,151.367,-60.730,19.653
0.547,-1.599,-0.012,107.910,-66.162,24.231
0.497,-1.601,-0.085,73.303,-54.932,21.606
0.441,-1.514,-0.091,53.711,-28.748,15.137
0.479,-1.415,0.025,46.082,7.751,10.071
0.517,-1.323,0.197,42.969,40.283,2.991
0.536,-1.203,0.299,45.166,55.298,-9.338
0.538,-1.091,0.285,50.537,46.814,-20.142
0.572,-1.039,0.214,56.519,24.414,-20.630
0.534,-1.068,0.127,62.439,-1.892,-11.353
0.464,-1.118,0.035,67.261,-26.855,-1.831
0.433,-1.187,-0.080,66.711,-46.814,5.249
0.419,-1.240,-0.174,54.932,-55.603,8.301
0.398,-1.223,-0.193,35.156,-50.781,8.362
0.417,-1.160,-0.145,12.024,-38.025,7.202
0.459,-1.076,-0.022,-9.705,-26.428,6.653
0.466,-0.968,0.064,-25.940,-23.743,9.033
0.510,-0.908,0.072,-35.706,-31.250,13.672
0.471,-0.908,-0.050,-33.203,-49.255,20.569
0.521,-0.942,-0.168,-15.991,-66.162,26.367
0.454,-1.013,-0.256,7.141,-81.299,24.353
0.414,-1.078,-0.354,25.513,-94.421,15.076
0.372,-1.118,-0.438,33.813,-100.220,4.211
0.329,-1.130,-0.499,34.180,-95.886,-0.793

0.114,-1.905,-0.792,9.888,-74.646,35.889
0.082,-1.952,-0.833,5.615,-69.702,25.024
0.163,-1.811,-0.802,-1.038,-52.429,5.981
0.228,-1.678,-0.668,-6.836,-22.339,-10.559
0.233,-1.527,-0.475,-11.536,2.686,-17.639
0.237,-1.366,-0.327,-16.724,17.029,-22.156
0.236,-1.202,-0.228,-15.869,23.926,-29.968
0.243,-1.094,-0.161,-5.249,27.344,-39.185
0.246,-1.014,-0.114,9.949,25.818,-46.875
0.236,-0.952,-0.094,23.804,19.531,-52.063
0.222,-0.911,-0.101,31.555,11.658,-54.138
0.222,-0.903,-0.115,33.020,5.920,-53.711
0.223,-0.897,-0.126,29.968,3.845,-50.781
0.220,-0.900,-0.123,24.231,4.211,-46.143
0.219,-0.909,-0.115,17.212,5.981,-40.344
0.225,-0.913,-0.112,11.353,8.301,-33.569
0.236,-0.911,-0.104,6.592,10.132,-26.550
0.240,-0.915,-0.092,2.563,11.353,-20.203
0.241,-0.912,-0.085,-1.648,11.902,-15.869
0.243,-0.891,-0.067,-3.540,12.817,-13.672
0.241,-0.870,-0.046,-2.319,14.099,-10.925
0.235,-0.863,-0.026,0.549,14.465,-7.935
0.231,-0.859,-0.013,5.249,14.038,-5.432
